Iname,pool_type,destination_type,lifetime_seconds,max_pool_size,param1,param2,param3,param4,param5,param6,param7,param8,param9,param10,status
8A,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
6C,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
3D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
9A,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
3E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
9E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
1E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E0,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
B0,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
6E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
9F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
8F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
C8,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
7B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
3F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
7E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A4,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
B2,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
4A,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
9B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
2E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
B4,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
4D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
D6,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A0,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
1D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
6F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E7,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E4,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E9,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
C1,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
C0,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E6,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
5A,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
7D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
9F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A2,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
D1,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
8D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
4C,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
4E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
4F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E5,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A3,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
3C,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
5D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,bad URI(is not URI?): https://invoca.net/api/2014-01-01/882/advertisers/rr_1168403538/advertiser_campaigns/NIA- TFN/ring_pools/.json
2D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
5C,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
1B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
7C,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
4B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
B7,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
D5,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
3A,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,bad URI(is not URI?): https://invoca.net/api/2014-01-01/882/advertisers/rr_1168403538/advertiser_campaigns/RIC- TFN/ring_pools/.json
E0,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,bad URI(is not URI?): https://invoca.net/api/2014-01-01/882/advertisers/rr_1168403538/advertiser_campaigns/STJ- TFN/ring_pools/.json
B8,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,bad URI(is not URI?): https://invoca.net/api/2014-01-01/882/advertisers/rr_1168403538/advertiser_campaigns/STL- TFN/ring_pools/.json
D0,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
2C,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
7F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
D7,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E1,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,bad URI(is not URI?): https://invoca.net/api/2014-01-01/882/advertisers/rr_1168403538/advertiser_campaigns/STA- TFN/ring_pools/.json
6D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,bad URI(is not URI?): https://invoca.net/api/2014-01-01/882/advertisers/rr_1168403538/advertiser_campaigns/STC- TFN/ring_pools/.json
2A,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
8E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
3B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
2B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A1,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
5B,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
3D,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
3E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
9E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
6E,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
8F,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A3,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
B2,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A4,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A2,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
C1,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
B4,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
B7,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A4,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
B2,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
B4,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
C1,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
A2,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
E5,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
B7,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,success
B8,Custom,Advertiser,900,20,keninvocaid,keyword,competitor,engine,device,test_phase,fsa,kclickid,city,creative,bad URI(is not URI?): https://invoca.net/api/2014-01-01/882/advertisers/rr_1168403538/advertiser_campaigns/STL- TFN-FR/ring_pools/.json
