advertiser_id_from_network,campaign_id_from_network,name,destination_phone_number,url,status_code,error_message
73300,4318,"Byrd Heating and Air Conditioning, Inc.",9122336764,,201,""
73300,4319,"Henson's Technical Services, Inc.",8033293252,,201,""
73300,4320,Weathertrol Maintenance,3059081000,,201,""
73300,4321,Roehm Refrigeration,8122324127,,201,""
73300,4322,Estrada Engineering,5306741681,,201,""
73300,4323,"Bill Kirkland Heating & A/C, Inc.",8645739426,,201,""
73300,4324,Johnson Controls,2056823900,,201,""
73300,4325,"Thomason Mechanical & Design, Inc.",7077656116,,201,""
73299,4326,Precise Air,9312613601,,201,""
73299,4327,McCarthy Heating Oil,8604432839,,201,""
73300,4328,Hartline Heating & Air,8067975247,,201,""
73300,4329,"Tucker A/C, Heating & Refrigeration",8063812539,,201,""
73300,4330,"McDonough-Whitlow, P.C.",2175329233,,201,""
73300,4331,Shelby A/C & Heating,3173922013,,201,""
73300,4332,June Air Refrigeration Inc.,6312788408,,201,""
73300,4333,"David's Heating & Cooling, Inc.",2198106319,,201,""
73300,4334,Audie's Air Conditioning,9853852665,,201,""
73300,4335,"WKW Mechanical Contractors, Inc.",4087799779,,201,""
73300,4336,Air Force Heating & Air Conditioning,7703385350,,201,""
73299,4337,"McDonald Heating, AC and Plumbing, Inc.",5088929436,,201,""
73300,4338,Adams Heating & Air Conditioning,7043764328,,201,""
73300,4339,"Air & Heat Service Co., Inc.",6628388088,,201,""
73299,4340,Air Master Technologies,7046377777,,201,""
73300,4341,Quantum Mechanical,8312780574,,201,""
73300,4342,Ivey Mechanical,9104837171,,201,""
73300,4343,"Action Air & Electric, Inc.",4078927617,,201,""
73300,4344,"Mike's Refrigeratioin Service, Inc.",7738519207,,201,""
73300,4345,Comfort 1st Mechanical Service,2564836577,,201,""
73300,4346,Tim Benjamin Air Conditioning & Heating,4079366200,,201,""
73300,4347,GER Construction Co,4045560085,,201,""
73300,4348,A & C Contractors,4103033064,,201,""
73300,4349,"Coastal Aire & Sheet Metal, Inc.",7752675020,,201,""
73300,4350,Mountain Brook Schools,2058714608,,201,""
73300,4351,Jones Heating & A/C,7047864422,,201,""
73300,4352,"Rubino Enterprises, Inc.",4107898004,,201,""
73300,4353,BP Air,2024258107,,201,""
73300,4354,BFS Industries,9195756711,,201,""
73300,4355,Cornerstone A/C,8088473639,,201,""
73300,4356,Environmental Temperature Control,8163333341,,201,""
73300,4357,A & P Air Conditioning Corporation,3055567849,,201,""
73300,4358,Elk Air,4129998264,,201,""
73300,4359,MIT Massachusetts Institute of Technology,6172536328,,201,""
73300,4360,Apex Mechanical,6107566428,,201,""
73300,4361,"Pacific Climate Control, Inc.",8059675013,,201,""
73300,4362,Iceman Mechanical,4052096788,,201,""
73300,4363,JE Mechanical,5129476253,,201,""
73300,4364,Consolidated Systems,8083816640,,201,""
73300,4365,"Critchfield Mechanical, Inc.",7149574200,,201,""
73300,4366,Fix My AC Inc,9499392949,,201,""
73300,4367,Appliance Coach,3102790019,,201,""
73300,4368,"R & H Mechanical, Inc.",3607576909,,201,""
73300,4369,"Division 515, Inc.",9166381520,,201,""
73300,4370,United Engineering Group,7045329473,,201,""
73300,4371,"D.N.P., Inc.",2283961640,,201,""
73300,4372,"Courtesy Plumbing, HVAC & Electric, LLC",9104430609,,201,""
73300,4373,Maryland Unique Indoor Comfort,4107602121,,201,""
73300,4374,Bill Williams A/C,9043870491,,201,""
73300,4375,Coastal Comfort Cooling & Heating,9104435227,,201,""
73300,4376,"Air Techs of Volusia, LLC",3864268251,,201,""
73300,4377,"Total Building Solutions, Inc.",8136618818,,201,""
73300,4378,King Enterprises Inc.,2708854010,,201,""
73300,4379,Trinity Engineers,8435535513,,201,""
73300,4380,"Thomas Heating & Cooling, Inc.",8654756000,,201,""
73300,4381,O'Brien & Gere,8435536670,,201,""
73300,4382,Jacobs Engineering,8173475924,,201,""
73300,4383,Total Comfort Solutions,8037724495,,201,""
73300,4384,"Wing Star Mechanical, Inc.",7182597937,,201,""
73300,4385,"Corressell, Inc.",8124261440,,201,""
73300,4386,Air-Tec,3105491698,,201,""
73300,4387,"Temperature Control, Inc.",2319221862,,201,""
73300,4388,Elite Heating & Cooling,9202060633,,201,""
73300,4389,TF O' Brien & Co,5164881800,,201,""
73300,4390,Air Heating & Refrigeration,2486561010,,201,""
73300,4391,"Total Climate Control, Inc.",8502718435,,201,""
73300,4392,Trotter & Morton,2532142599,,201,""
73300,4393,Certified Refrigeration & Mechanical,9204969993,,201,""
73300,4394,"King's Aire, Inc.",9155922997,,201,""
73300,4395,Airtech Heating & Cooling,6513405956,,201,""
73300,4396,US Army,9155685873,,201,""
73300,4397,"AM Mechanical, Inc.",8648439903,,201,""
73300,4398,Able Body Labor,7276883206,,201,""
73300,4399,State Mechanical,8037914810,,201,""
73300,4400,"Advantage Mechanical Solutions, Inc.",8644222671,,201,""
73300,4401,Troubleshooter A/C & Refrigeration,8033568229,,201,""
73300,4402,Professional Mechanical Contractors,8282532532,,201,""
73300,4403,Comfort Systems USA-Charlotte,7045094328,,201,""
73300,4404,Direct Air Conditioning,7864127085,,201,""
73300,4405,Winn-Dixie,3342807368,,201,""
73300,4406,Southern Piping Company-Blanton Div,9107900320,,201,""
73300,4407,Coast Mechanical Contractors,9104529080,,201,""
73300,4408,Milner Air Conditioning,5852881166,,201,""
73300,4409,Alpine Mechanical Service,6505927955,,201,""
73300,4410,Patton Air Conditioning,5594865222,,201,""
73300,4411,"Anderson Bros. Electric, Plumbing & Heating",3082366437,,201,""
73300,4412,ACCO - Carmichael,9162304187,,201,""
73300,4413,Murphy & Miller Inc,8479566007,,201,""
73300,4414,Comfort Keepers,8475509927,,201,""
73300,4415,"Area Sheet Metal, Inc.",2199427700,,201,""
73300,4416,Aaron Air LLC,2157045613,,201,""
73300,4417,Enerplex Mechanical System,2154587258,,201,""
73300,4418,Airchampion Air Conditioning Inc,2814408077,,201,""
73300,4419,Hugo PLBG and Heating Inc.,4023722165,,201,""
73300,4420,"A.J. Monier & Company, Inc.",2102239191,,201,""
73300,4421,Patterson Heating & Air Conditioning,7042078264,,201,""
73300,4422,Aire Tech Heating & A/C,2108247659,,201,""
73300,4423,"HVAC/R Technology, LLC",2157969660,,201,""
73300,4424,Maxwell Service Group,6092391798,,201,""
73300,4425,"Commercial Refrigeration of Harrisburg, Inc.",7175642034,,201,""
73300,4426,Mike's Air Conditioning,7184412727,,201,""
73300,4427,Hawaiian Air Conditioning,8087378787,,201,""
73300,4428,"Airtech Mechanical, Inc.",4192920074,,201,""
73300,4429,Madison Mechanical Inc.,4104617301,,201,""
73300,4430,Carlson & Stewart Refrigeration,5075322576,,201,""
73300,4431,Hannabery HVAC,6103669400,,201,""
73300,4432,Comfort Systems,3147391600,,201,""
73300,4433,Republic Air Conditioning,7605685600,,201,""
73300,4434,Chase Air,9047302099,,201,""
73299,4435,Elite Air Inc,6095818282,,201,""
73300,4436,Ecomfort Systems,4068715806,,201,""
73300,4437,"RS Andrews Services, Inc - AT5",7702167419,,201,""
73300,4438,Binsky Service,6096938682,,201,""
73300,4439,"Magdad, Inc.",7189491548,,201,""
73300,4440,Sanders Home Services,8883330630,,201,""
73300,4441,Cook Heat and Air,3867528558,,201,""
73300,4442,Air Energy Company,7137779000,,201,""
73300,4443,S&K Heating & Air,4233341425,,201,""
73300,4444,Air-Tech Industries,3363375277,,201,""
73300,4445,Central Heating & Air,8037860170,,201,""
73300,4446,"Shephard Mechanical Contractors, Inc.",9163680110,,201,""
73300,4447,Valley Mechanical,3475581698,,201,""
73300,4448,Michael James Industries,6312520590,,201,""
73300,4449,Henderson Mechanical,8654554621,,201,""
73300,4450,Custom Aire,7017755522,,201,""
73300,4451,"Western Hills Heating & AC, Inc.",8126375552,,201,""
73300,4452,J & M Chase Electric Inc,2079445363,,201,""
73300,4453,Tropical Air Conditioning,9146689879,,201,""
73300,4454,UNOH   University of Northwest Ohio,4197731165,,201,""
73300,4455,Wattinger Service Company,5125768265,,201,""
73300,4456,Key West Air Conditioning,2392897529,,201,""
73300,4457,Bloom Appliance,4058420330,,201,""
73300,4458,McAllister Service Co.,6093744719,,201,""
73300,4459,Summer Systems,6612574419,,201,""
73300,4460,Green River Cabins Mfg. Co.,8644572444,,201,""
73300,4461,NAVFAC SW EFD SW,6195322848,,201,""
73300,4462,X-nth,8585970555,,201,""
73300,4463,Womack's Heating & A/C,3253885313,,201,""
73300,4464,J & J Air Conditioning,4089200662,,201,""
73300,4465,"Southern Lakes Plb and Htg, INC",2627236422,,201,""
73300,4466,Bonney Plumbing Heating & Air,9163612443,,201,""
73300,4467,Syserco,5104981420,,201,""
73300,4468,Wildberger Aire,2107101005,,201,""
73300,4469,Thermacon,7188465262,,201,""
73300,4470,Al B's Service,7186170289,,201,""
73300,4471,Lawrence Hospital,6462616325,,201,""
73300,4472,"Seminole Electric & A/C, Inc.",2295242202,,201,""
73300,4473,"Total Comfort, Inc.",7704461241,,201,""
73300,4474,"Coastal Comfort Systems, LLC",9123132394,,201,""
73300,4475,Covert Aire,8437065090,,201,""
73300,4476,"Alltemp, Inc.",8088716723,,201,""
73300,4477,Alaka'i Mechanical Corporation,8088341085,,201,""
73300,4478,The Banes Company,7709282883,,201,""
73300,4479,Design Heating Innovations,2085259332,,201,""
73300,4480,Dane's Sheet Metal and Heating,2089480413,,201,""
73300,4481,Southside Electric Inc.,2086542313,,201,""
73300,4482,McCown Company,8642777311,,201,""
73300,4483,Center County Air Conditioning,5163444022,,403,"{""ivr_tree"":{""destination_number"":[""cannot be called""]}}"
73300,4484,Air Conditioning of Maui Inc.,8088777637,,201,""
73300,4485,Breeze Air Conditioning Inc.,7183808799,,201,""
73300,4486,AT Mechanical,7089450560,,201,""
73300,4487,"Enoki's Refrigeration, LLC",8083576925,,201,""
73300,4488,Dodson Plumbing & Heating,3047258811,,201,""
73300,4489,"Barker Mechanical Services, Inc.",9255600280,,201,""
73300,4490,California Mechanical Inc.,9254493819,,201,""
73300,4491,Allen Heating & Sheet Metal,4159242425,,201,""
73300,4492,"Vorpagel Service, Inc.",2627632573,,201,""
73300,4493,Vellucci & Son,2153541664,,201,""
73300,4494,Ralph's Heating & A/C Inc.,2626790272,,201,""
73299,4495,"Chilltrol, Inc.",4109698200,,201,""
73300,4496,Larry's Electric & Heating,2086784071,,201,""
73300,4497,Carolina Comfort Heat & Air,9107721555,,201,""
73300,4498,Hinesley's Heating & A/C,9106902290,,201,""
73300,4499,A+ Plus Heating & Cooling,9107542200,,201,""
73300,4500,"Gene's Heating & Air, Inc.",9107544852,,201,""
73300,4501,Finney Company,8592530659,,201,""
73300,4502,Full Circle Air Conditioning & Refrigeration,2623344186,,201,""
73300,4503,Tri-Star Mechanical,6625784440,,201,""
73300,4504,CJ's Heating & A/C,8455320929,,201,""
73300,4505,Oelerich Heating Ventilating & Air Conditioning,8475667900,,201,""
73300,4506,Allied Air Conditioning & Heating Corp,8473594500,,201,""
73300,4507,Park Sheet Metal,8152821062,,201,""
73299,4508,Dependable A/C & Heat,9368560584,,201,""
73300,4509,Dorsett Technologies,,,403,"{""ivr_tree"":{""destination_phone_number"":[""national number must have exactly 10 digits or start with +""],""destination_number"":[""cannot be called""]}}"
73300,4510,Statz Mechanical,6085243030,,201,""
73300,4511,Ryan & Associates,5633813914,,201,""
73300,4512,"High-Tech Air Systems, Inc.",2628779405,,201,""
73300,4513,"Reid Sheet Metal Services, Inc.",7072530909,,201,""
73300,4514,Palmetto Air and Chiller Service,8037396551,,201,""
73300,4515,"North Central Mechanical, Inc.",5859241610,,201,""
73300,4516,"McGraw Mechanical, Inc.",7164337901,,201,""
73300,4517,Sunshine Heating and Air Conditioning Inc.,5183560712,,201,""
73299,4518,Lakeside Heating & A/C,5096822128,,201,""
73300,4519,"Carolina Climate Services, Inc.",8642951195,,201,""
73300,4520,"Martin Engineering Design, Inc.",9184932712,,201,""
73300,4521,Mathis Plumbing & Heating Company,8642234336,,201,""
73300,4522,"PSPFI, Inc.",5748700338,,201,""
73300,4523,Kleen Breeze,8509324500,,201,""
73300,4524,"Turner Plumbing, Heating & Air, Inc.",7066820286,,201,""
73300,4525,Mr. Cool,6465292846,,201,""
73299,4526,J.F. Denney Plumbing & Heating,9136822182,,201,""
73300,4527,"DR Davenport, PE, LLC",8436076531,,201,""
73300,4528,Eastern Heating & Cooling,2522879376,,201,""
73300,4529,Skandia America Group,5185895960,,201,""
73299,4530,"Extreme Air & Electric, Inc.",3212551855,,201,""
73300,4531,UCS,4089148204,,201,""
73299,4532,Skyline Mechanical,9705246810,,201,""
73300,4533,Washoe County,7753282552,,201,""
73300,4534,Hamilton Technology,9172790196,,201,""
73299,4535,Airforce Heating & Air,7066165785,,201,""
73300,4536,NASA PBOSG,,,403,"{""ivr_tree"":{""destination_phone_number"":[""national number must have exactly 10 digits or start with +""],""destination_number"":[""cannot be called""]}}"
73299,4537,Jerry's Plumbing & Heating,2072822319,,201,""
73300,4538,Thermo Tech Mechanical,9172921707,,201,""
73300,4539,"Bayside Mechanical Services, LLC",4109051784,,201,""
73300,4540,"Daneu Air & Heat, Inc",3217680089,,201,""
73299,4541,Briggs Mechanical,5086950240,,201,""
73300,4542,River City Heating & Cooling,5035919950,,201,""
73300,4543,ABetter Heating and Air,7709226505,,201,""
73299,4544,Tarabini Mechanical Heating & Air Conditioning,5105994995,,201,""
73300,4545,Good's Heating and Air,8036849975,,201,""
73300,4546,Adkins Heating and Cooling,8033244722,,201,""
73300,4547,Mechanical System of Dayton,9372543235,,201,""
73300,4548,Baldwin Refrigeration A/C,8504381059,,201,""
73299,4549,Arnold Air Conditioning,7725891063,,201,""
73300,4550,Southern Comfort Mechanical,2147252260,,201,""
73300,4551,"Gems Heating, Cooling, and Refrigeration",7156272248,,201,""
73300,4552,Lewisville A/C & Heating,9722197777,,201,""
73300,4553,"H N J Services, LLC",7156170150,,201,""
73300,4554,Stonebridge Heating & Air Conditioning,9035655414,,201,""
73300,4555,Teske Air Conditioning,7015233473,,201,""
73300,4556,Hinds Heating & Cooling,5702783811,,201,""
73300,4557,Above and Beyond Heating & Cooling,5163781585,,201,""
73300,4558,H. A. Thompson & Sons,,,403,"{""ivr_tree"":{""destination_phone_number"":[""national number must have exactly 10 digits or start with +""],""destination_number"":[""cannot be called""]}}"
73300,4559,McNorton Mechanical,8504785164,,201,""
73300,4560,Mike's Mechanical Services,3018485212,,201,""
73300,4561,North Star A/C and Heating,4074930864,,201,""
73300,4562,"People Air Conditioning & Heating, Inc.",4079478443,,201,""
73300,4563,Rocky Mountain Heating & Air,3078838884,,201,""
73299,4564,Bryant's Heating & A/C,6055302611,,201,""
73299,4565,Comfort Zone Heating & Air,7012583946,,201,""
73300,4566,Air Dynamics,3256552515,,201,""
73299,4567,"P & M Mechanical, Inc.",2059259486,,201,""
73300,4568,"Efficient Energy Concepts, Inc.",5308793030,,201,""
73300,4569,Performance Mechanical Group,4252510356,,201,""
73300,4570,Aire-Plus,5166470910,,201,""
73300,4571,"Red River Refrigeration, Inc.",7012771739,,201,""
73300,4572,RC Heating & Cooling,6202412787,,201,""
73300,4573,Driekast Piping,5136749112,,201,""
